GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density,fafood,fitness,park
36047055100,21.4,0.10836971,0.004365155,0.008160941,0,0.562915164,0.495160372,0.417499445,0.210096793,0.220535206,0.141582843,0.094894667,0.137976846,0.109149278,67857,0.032999029,0.12526096,0.14618086,1111700,1939,0.820017559,22765.76623,0.338450638,0.690363722,0.665564478
36047019300,23,0.455740433,0,0.100998336,0.001331115,0.13327787,0.393677205,0.2674937,0.322795341,0.1359401,0.104825291,0.061730449,0.20266223,0.126276695,54483,0.115604575,0.222294939,0.125769569,308300,1959,0.472735268,22295.26198,0.279974625,0.611122859,0.589976739
36047020200,19.2,0,0.017277487,0.304188482,0,0.072251309,0.484816754,0.583386581,0.136125654,0.139267016,0.106282723,0.164397906,0.229842932,0.174015748,94833,0.061356297,0.084816754,0.096518987,836700,1939,0.360759494,14175.0282,0.418181818,0.343873518,1.052964427
36047086800,32.8,0.833383459,0.010827068,0.022255639,0,0.126917293,0.423759398,0.390512334,0.195789474,0.101954887,0.107969925,0.107669173,0.25112782,0.200659444,44792,0.051552795,0.172088781,0.146579805,546100,1939,0.714983713,19057.17151,0.6491772,0.261149535,0.385642738
36047099600,30.3,0.891251682,0,0.027725437,0,0.034185734,0.410228802,0.423476005,0.176312248,0.128936743,0.109825034,0.129475101,0.24064603,0.134629768,70446,0.068807339,0.083445491,0.23963964,545100,1962,0.43963964,19595.94894,0.645873585,0.271874137,0.530499586
36047042000,20.7,0.037804878,0,0.023170732,0,0.059756098,0.510365854,0.64291498,0.159756098,0.10304878,0.076219512,0.09695122,0.247560976,0.12337011,55625,0.067226891,0.181097561,0.180952381,946400,1939,0.474285714,9730.281348,0.554104478,0.377798507,0.794776119
36047065400,20.2,0.023553163,0,0.139973082,0,0.037012113,0.485868102,0.6896,0.109017497,0.129205922,0.085464334,0.121803499,0.376177658,0.049393414,94926,0.095945946,0.047106326,0.010968921,585500,1939,0.069469835,9812.920566,0.597637248,0.583738707,1.470465601
36047040400,19,0.006273526,0,0.473860309,0.002091175,0.089920535,0.499790882,0.551300933,0.146800502,0.13425345,0.119196989,0.180677541,0.245085738,0.297105407,58938,0.080542265,0.157407407,0.191715976,814800,1939,0.469822485,15570.05548,0.49188688,0.383402874,0.783031989
36047004100,20.1,0.109280615,0,0.083745195,0,0.115870401,0.520867655,0.50643352,0.140582098,0.230642504,0.154859967,0.099945085,0.186436024,0.082507082,140104,0.041761235,0.071833085,0.008727273,2000000,1939,0.637818182,22492.72785,0.209750567,0.804421769,0.675736961
36047032900,31.4,0.500321337,0,0.015584833,0.004338046,0.114395887,0.444248072,0.393160531,0.149421594,0.138335476,0.11214653,0.129659383,0.176735219,0.152376163,37329,0.067077344,0.31651671,0.249792186,626900,1939,0.908561929,39814.99843,0.405039951,0.349108789,0.651505839
36047013900,19.3,0.126608187,0,0.066374269,0,0.141812865,0.483918129,0.491692099,0.214327485,0.202631579,0.172807018,0.123684211,0.116666667,0.05504234,130594,0.035952064,0.099498081,0.03548616,1210000,1939,0.71469127,22613.36437,0.350697293,0.766201805,0.794503692
36047092800,29.5,0.903503185,0.006369427,0,0,0.098726115,0.417834395,0.310893956,0.192356688,0.082484076,0.130573248,0.184394904,0.236624204,0.171094102,55980,0.045050385,0.124522293,0.167080232,462200,1939,0.617866005,19984.0891,0.514519986,0.243594124,0.400068329
36047016000,20.7,0.040605296,0,0.184363178,0.008070618,0.274401009,0.474653216,0.542789458,0.222698613,0.155107188,0.152332913,0.14703657,0.139470366,0.151619573,71611,0.025380711,0.153185035,0.115702479,509300,1939,0.764780674,15340.44965,0.704277286,0.54473943,0.866273353
36047036300,34,0.825699746,0.011026293,0.00360475,0,0.164970314,0.466284987,0.342119714,0.115564037,0.122349449,0.143341815,0.114503817,0.208439355,0.223156533,33021,0.061721992,0.280746395,0.388043478,624200,1977,0.797282609,18168.0895,0.551482059,0.291731669,0.81201248
36047012801,19.7,0.01228609,0,0.654673102,0,0.046511628,0.518209741,0.657234383,0.111452391,0.161474331,0.104431768,0.134708205,0.297937692,0.397707736,39940,0.04509018,0.350220264,0.201591512,832900,1939,0.656498674,19834.29357,0.280898876,0.222311396,0.820224719
36047047400,24.7,0,0,0,0,0.007560684,0.550338241,0.689993861,0.11539992,0.100278552,0.077596498,0.095901313,0.210903303,0.128735632,51173,0.058695652,0.317946677,0.384164223,1050600,1939,0.56744868,14297.4995,0.154577883,0.292508918,0.451843044
36047046800,24.2,0.003603604,0,0.022522523,0,0.018018018,0.505855856,0.673469388,0.123423423,0.125225225,0.088738739,0.063063063,0.094594595,0.130434783,48214,0.048780488,0.260810811,0.281632653,965500,1961,0.493877551,7506.695161,0.179755672,0.179755672,0.561954625
36047047000,23.6,0.000738552,0,0.032127031,0,0.03323486,0.555022157,0.642985075,0.111521418,0.125553914,0.09084195,0.0605613,0.153988183,0.157980456,49931,0.034254144,0.278434269,0.245199409,932600,1953,0.522895126,14903.52335,0.225,0.31,0.965
36047045800,20.6,0.023872679,0.013262599,0,0,0.111405836,0.561007958,0.542079208,0.169761273,0.096153846,0.161803714,0.098806366,0.221485411,0.063559322,87083,0.084459459,0.103448276,0.061657033,958300,1951,0.360308285,8411.423472,0.27617801,0.569371728,0.969895288
36047046202,22.8,0,0,0.018128368,0,0.086722195,0.476237139,0.542119565,0.219010289,0.05144537,0.089171975,0.105830475,0.186183244,0.124770642,54914,0.043695381,0.251597052,0.113712375,901100,1939,0.484949833,11815.30838,0.309966216,0.536317568,0.70777027
36047046400,25.4,0.030346821,0,0.011560694,0,0.035043353,0.519869942,0.61270617,0.116690751,0.080563584,0.125722543,0.043352601,0.140895954,0.154285714,57639,0.005701254,0.312772134,0.2528,968400,1942,0.4832,16887.41924,0.176544767,0.504413619,0.509457755
36047047600,25.2,0.037631579,0,0.003421053,0,0.092105263,0.534736842,0.549446203,0.145263158,0.111842105,0.066052632,0.077368421,0.195789474,0.317557252,36007,0.126025354,0.301515554,0.277835588,902300,1939,0.488033299,18353.05482,0.202531646,0.233273056,0.320976492
36047047700,17.7,0.04068067,0,0.083754321,0,0.082159,0.479659665,0.458677686,0.254453603,0.387662856,0.110342994,0.061153948,0.078436586,0.036137072,107727,0.027567195,0.07872965,0.018669778,1014900,1963,0.747374562,17278.05214,0.26961927,0.657342657,0.643745144
36047047800,24.7,0,0.005949758,0.048699868,0,0.206478625,0.543411194,0.523479357,0.182459233,0.10599383,0.076245042,0.096297929,0.15821948,0.276025918,63393,0.024957459,0.278316439,0.304672897,1025200,1941,0.592523364,20526.22771,0.254906895,0.184700554,0.4562154
36047048000,26.5,0.032191604,0,0.119752768,0,0.280968323,0.50321916,0.449164345,0.222250837,0.141127994,0.091424157,0.074942055,0.168426474,0.372189078,31918,0.074691358,0.33608035,0.508490566,716300,1955,0.855660377,25368.14185,0.288217258,0.242663163,0.512483574
36047048100,18.4,0.054794521,0,0.103065884,0,0.270711024,0.454011742,0.322311173,0.305609915,0.293868232,0.111872146,0.05642531,0.143509459,0.204323866,84271,0.062988506,0.122309198,0.117435159,1250000,1939,0.922190202,20276.43674,0.394210526,0.667894737,0.569473684
36047081400,32.5,0.907951289,0,0.047636103,0,0.056232092,0.45773639,0.419229104,0.111747851,0.164756447,0.094197708,0.145415473,0.266833811,0.131552419,43380,0.077662722,0.187320917,0.228985507,493900,1939,0.580676329,16416.47998,0.532900561,0.221009147,0.467099439
36047082800,31.7,0.856715674,0.005482183,0.001993521,0,0.102417144,0.440069773,0.323668453,0.216546225,0.139297284,0.120358834,0.104659855,0.176426614,0.131128848,47991,0.081339713,0.149111834,0.261538462,480000,1939,0.734798535,25629.0714,0.485708281,0.229087852,0.37788987
36047082000,33.9,0.813210091,0,0.020219526,0,0.131908338,0.476217986,0.389228886,0.185441941,0.189678413,0.08241864,0.115155016,0.170036588,0.147312147,43357,0.110798876,0.267798572,0.372340426,335200,1939,0.980319149,34967.57772,0.536856745,0.314016381,0.468397466
36047082200,32.1,0.821376086,0,0.011489646,0,0.116900468,0.450233801,0.301633511,0.16005344,0.151770207,0.158183033,0.089645959,0.220440882,0.172013776,41922,0.084890966,0.140086791,0.340690637,604200,1939,0.943040228,44092.43801,0.52249047,0.371537484,0.489326557
36047082600,30.9,0.829975523,0.007531538,0.003765769,0,0.083411787,0.443607607,0.361067149,0.170589343,0.159292035,0.11598569,0.108830729,0.238373188,0.158940397,52797,0.091042584,0.127659574,0.235685072,453600,1939,0.702453988,26692.33205,0.487248133,0.27124137,0.456249119
36047083000,30.9,0.890847348,0,0.026843467,0,0.090556274,0.419631307,0.40473301,0.187257439,0.103654592,0.16186934,0.098803364,0.193564036,0.150172329,49609,0.038921238,0.122089263,0.14391951,464600,1944,0.853893263,30665.02036,0.69934082,0.247558594,0.465698242
36047083200,30.6,0.966491144,0,0.023934897,0,0.020105314,0.444710388,0.396907216,0.143609382,0.158927717,0.117280996,0.105792245,0.268070847,0.139755767,63179,0.062130178,0.09526089,0.117730496,428200,1939,0.382978723,14361.23772,0.612626656,0.36477007,0.519875292
36047083400,31.9,0.904761905,0,0.05984556,0,0.012870013,0.426640927,0.477290223,0.164092664,0.130630631,0.0997426,0.135778636,0.270913771,0.135948905,54625,0.080976864,0.162337662,0.12849162,400700,1943,0.277467412,12341.267,0.382978723,0.180507893,0.521619767
36047024100,24.5,0.149612117,0.046915405,0.032508312,0,0.236054673,0.462135205,0.393673111,0.314739564,0.217584041,0.100110824,0.071296638,0.129663835,0.24554776,68563,0.064685315,0.188389081,0.186293436,660400,1939,0.847490347,15030.12132,0.377818684,0.476760239,0.521859181
36047057400,18.2,0.013415893,0,0.50498796,0,0.031647747,0.504643963,0.556490385,0.140694874,0.076023392,0.12624699,0.159614723,0.297213622,0.190799031,81154,0.038081805,0.08566494,0.141547862,647700,1939,0.284114053,18270.72348,0.471215352,0.418976546,0.567697228
36047102400,25.7,0.896402254,0,0.055916775,0,0.004768097,0.40745557,0.366702938,0.168617252,0.140875596,0.096662332,0.187256177,0.157780668,0.089718402,92538,0.072727273,0.03857824,0.14384509,509600,1939,0.439834025,16128.1302,0.694639719,0.255272408,0.826889279
36047048400,25,0.068289266,0,0.122395377,0,0.073717387,0.528628962,0.568199332,0.154263702,0.152512695,0.082297321,0.086849939,0.147960077,0.176470588,51382,0.02933213,0.310229277,0.310449575,763700,1939,0.763061968,27316.60185,0.326923077,0.345384615,0.806666667
